原始: R=50 G=1 B=1 Ctl=0x00
红通道最大接受值 = 255
commit 后窗口差异: 0x76B:0x00->0x32 | 0x76A:0xFF->0x32 | 0x769:0xFF->0x32

项目                   写入          回读 结论    
--                   --          -- --    
红通道量程                60          60 接受    
红通道量程                80          80 接受    
红通道量程               100         100 接受    
红通道量程               128           0 钳位→0  
红通道量程               200         200 接受    
红通道量程               255         255 接受    
白色候选        255,255,255 255,255,255 寄存器已接受
白色候选           50,50,50    50,50,50 寄存器已接受
白色候选           49,49,49    49,49,49 寄存器已接受
白色候选           35,35,35    35,35,35 寄存器已接受
黄色对照(双通道满载)   255,255,0   255,255,0 接受    



已恢复原色: R=50 G=1 B=1 Ctl=0x20
